type produit;numero AMM;nom produit;catégorie de condition d’emploi;condition d’emploi libelle;
PPP;8700542;SYGAN S;Protection du travailleur;Condition: - Porter une combinaison de travail (cotte en coton/polyester 35%/65% - grammage d'au moins 230 g/m2) avec traitement déperlant et, en cas de contact avec la culture traitée, des gants en nitrile certifiés EN 374-3.;
PPP;8700542;SYGAN S;Conditions d'emploi du matériel utilisé;Condition: Il convient de rappeler que l'utilisation d'un matériel adapté et entretenu et la mise en œuvre de protections collectives constituent la première mesure de prévention contre les risques professionnels, avant la mise en place de protections complémentaires comme les protections individuelles. En tout état de cause, le port de combinaison de travail dédiée ou d'EPI doit être associé à des réflexes d'hygiène (ex : lavage des mains, douche en fin de traitement) et à un comportement rigoureux (ex : procédure d'habillage/déshabillage). Les modalités de nettoyage et de stockage des combinaisons de travail et des EPI réutilisables doivent être conformes à leur notice d'utilisation.;
PPP;8700542;SYGAN S;Délai de rentrée;Condition: - 48 heures en cohérence avec l'arrêté du 12 septembre 2006. ;
PPP;8700542;SYGAN S;Respect LMR;Condition: Les conditions d'utilisation de la préparation, compte tenu des bonnes pratiques agricoles critiques proposées pour chaque usage figurant dans la liste des usages autorisés, permettent de respecter les limites maximales de résidus.;
PPP;8700542;SYGAN S;Environnement faune;Condition: - SPe 3 : Pour protéger les organismes aquatiques, respecter une zone non traitée de 5 mètres par rapport aux points d'eau.;
PPP;8700542;SYGAN S;Environnement flore;Condition: - SPe 3 : Pour protéger les plantes non cibles, respecter une zone non traitée de (distance à préciser) par rapport à la zone non cultivée adjacente.;
PPP;8700542;SYGAN S;Etiquetage;Condition: EUH208 : Contient du cymoxanil, folpel. Peut produire une réaction allergique.;
PPP;2090024;DIODE;Etiquetage;Condition: EUH208 : Contient de la sulcotrione et du 1,2-Benzisothiazolin-3-one. Peut produire une réaction allergique.;
PPP;2090024;DIODE;Délai de rentrée;Condition: - 48 heures en application de l'arrêté du 12 septembre 2006. ;
PPP;2090024;DIODE;Protection de l'opérateur;Condition: Porter des gants en nitriles et des vêtements de protection appropriés pendant toutes les phases de préparation et de traitement;
PPP;2100195;STROBIPLUS 250 SC;Délai de rentrée;Condition: Délai de rentrée : 6 heures.;
PPP;2100195;STROBIPLUS 250 SC;Environnement faune;Condition: Afin de protéger les organismes aquatiques, respecter une zone non traitée de 5 mètres par rapport à la zone non cultivée adjacente.;
PPP;2100195;STROBIPLUS 250 SC;Respect LMR;Condition: - Délais avant récolte : le délai avant récolte (DAR) est fixé à 42 jours pour le blé, les crucifères oléagineuses, l'orge et le triticale à raison de 2 applications maximum à la dose de 1 L/ha de préparation STROBIPLUS 250 SC.;
PPP;9900098;PELOUS NET PLUS;Utilisation;Condition: ANTIDICOTYLEDONES VIVACES, ANTIDICOTYLEDONES ANNUELLES;
PPP;2050090;DESOGERME BACTISEM LIQUIDE;Protection de l'opérateur;Condition: Porter des gants, des vêtements de protection, un écran facial ou de protections oculaires associées à une protection respiratoires.;
PPP;2050090;DESOGERME BACTISEM LIQUIDE;Délai de rentrée;Condition: Délai de rentrée : non applicable pour un traitement de semences.;
PPP;2050090;DESOGERME BACTISEM LIQUIDE;Protection de l'opérateur;Condition: Le traitement des semences doit être effectué dans une enceinte close, afin d'éviter tout contact avec l'opérateur ou les personnes pouvant être présentes.;
PPP;2050090;DESOGERME BACTISEM LIQUIDE;Utilisation;Condition: La préparation ne doit pas être utilisée en mélange avec l'ammoniac et avec les acides, de quelque nature qu'ils soient.;
PPP;2050090;DESOGERME BACTISEM LIQUIDE;Utilisation;Condition: L'utilisation de cette préparation est exclusivement réservée aux seuls établissements semenciers, équipés pour le traitement des semences.;
PPP;9800238;DESHERBANT ALLEES LIQUIDE OXA;Délai de rentrée;Condition: Délai de rentrée : attendre le séchage complet de la zone traitée.;
PPP;9800238;DESHERBANT ALLEES LIQUIDE OXA;Etiquetage;Condition: Contient du dichlorprop-P. Peut déclencher une réaction allergique.;
PPP;7800427;BETRANIX EL;Utilisation;Condition: ANTIGRAMINEES, ANTIDICOTYLEDONES;
PPP;9900203;HUSSAR OF;Protection de l'opérateur;Condition: Porter des gants et des vêtements de protection appropriés pendant les opérations de mélange/chargement et de traitement.;
PPP;9900203;HUSSAR OF;Délai de rentrée;Condition: - délai de rentrée : 48 heures;
PPP;9900203;HUSSAR OF;Environnement faune;Condition: Pour protéger les organismes aquatiques, respecter une zone non traitée de 5 mètres par rapport au point d'eau.;
PPP;2040079;DESHERBANT ALLEES MASSO;Délai de rentrée;Condition: Délai de rentrée : attendre le séchage complet de la zone traitée.;
PPP;2040079;DESHERBANT ALLEES MASSO;Etiquetage;Condition: Contient du dichlorprop-P. Peut déclencher une réaction allergique.;
PPP;2110067;AAT GLY360;Protection de l'opérateur;Condition: porter des vêtements de protection appropriés pendant les phases de mélange, chargement et pulvérisation.;
PPP;2110067;AAT GLY360;Délai de rentrée;Condition:  délai de rentrée de 24 heures .;
PPP;2110067;AAT GLY360;Environnement flore;Condition: pour protéger les plantes non ciblées, respecter une zone non traitée de 5 mètres minimum par rapport aux points d'eau et aux zones non cultivées adjacentes .;
PPP;2110067;AAT GLY360;Environnement faune;Condition: pour protéger les organismes aquatiques, respecter une zone non traitée de 20 mètres minimum pour des doses d'application de substance active glyphosate > à 1900 g/ha et par an . dans les autres cas, respecter une ZNT de 5 m. par rapport aux points d'eau et aux zones non cultivées adjacentes.;
PPP;2110067;AAT GLY360;Respect LMR;Condition: les conditions d'utilisation de la préparation, compte-tenu des bonnes pratiques agricoles critiques proposées, permettent de respecter la limite maximale de résidus en recommandant un délai avant récolte de 21 jours, sauf pour  * Kiwi : 90 jours,  * Olive: 7 jours,  * Cultures potagères : 30 jours.  * En raison du mode de production en continu de la banane, un délai avant récolte de 21 jours est incompatible avec de type de production, cet usage n'est pas retenu .;
