type produit;numero AMM;nom produit;seconds noms commerciaux;titulaire;type commercial;gamme usage;mentions autorisees;Substances actives;fonctions;formulations;identifiant usage lib court;identifiant usage; date decision;stade cultural min (BBCH);stade cultural max (BBCH);etat usage;dose retenue;dose retenue unite;delai avant recolte jour;delai avant recolte bbch;nombre max d'application;date fin distribution;date fin utilisation;condition emploi;ZNT aquatique (en m);ZNT arthropodes non cibles (en m);ZNT plantes non cibles (en m);mentions autorisees;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;16323205;Cucurbitacées à peau comestible*Trt Part.Aer.*Maladies des taches brunes;15/07/2025;10;89;Autorisé;5.0;g/10 m²;3;;4;;;Également autorisé sous abri.;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;16323204;Cucurbitacées à peau comestible*Trt Part.Aer.*Mildiou(s);15/07/2025;10;89;Autorisé;5.0;g/10 m²;3;;4;;;Également autorisé sous abri.;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;12453301;Fruits à coque*Trt Part.Aer.*Bactériose(s);15/07/2025;95;53;Autorisé;5.0;g/10 m²;;;4;;;;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;12603301;Fruits à pépins*Trt Part.Aer.*Bactériose(s);15/07/2025;91;53;Autorisé;5.0;g/10 m²;;;4;;;;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;12603201;Fruits à pépins*Trt Part.Aer.*Chancre européen;15/07/2025;91;53;Autorisé;5.0;g/10 m²;;;4;;;;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;12603303;Fruits à pépins*Trt Part.Aer.*Feu bactérien;15/07/2025;91;53;Autorisé;5.0;g/10 m²;;;4;;;;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;12603205;Fruits à pépins*Trt Part.Aer.*Moniliose(s);15/07/2025;91;53;Autorisé;5.0;g/10 m²;;;4;;;;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;12603203;Fruits à pépins*Trt Part.Aer.*Tavelure(s);15/07/2025;91;53;Autorisé;5.0;g/10 m²;;;4;;;;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;16573301;Haricots et Pois écossés frais*Trt Part.Aer.*Bactériose(s);15/07/2025;14;89;Autorisé;5.0;g/10 m²;3;;4;;;Uniquement sur pois sabre, flageolet, fève, lima et niébé. ;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;16573202;Haricots et Pois écossés frais*Trt Part.Aer.*Maladies des taches brunes;15/07/2025;14;89;Autorisé;5.0;g/10 m²;3;;4;;;Uniquement sur pois sabre, flageolet, fève, lima et niébé. ;5.0;;;;
